,txt,label
0,배우빨로도 안먹힌 졸작!,1
1,이 OO는뭐 어쩌라는거,1
2,티타늄하트 얼마정도해??,0
3,모니터부수기에 대해 알아보자,0
4,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다,1
5,로그인 오류,0
6,토마스 1 콜린퍼스 1 루퍼트 프렌즈 1,1
7,무엇을 말하려고한지 모르겠지만 보는내내 빠져있었던 매력적인 영화,1
8,4.56맞을만 한데?,1
9,골앱 나오면 실버하트 가격 내려가나요?,0
10,에픽퀘나 일반퀘하면좋나요,0
11,돈 조반니?? 돈 안줘봤는데요??,1
12,어렸을때 봤는데 지금까지 봐요 ㅋㅋ,1
13,스카/루나/제니스 닉,0
14,아케인 시세,0
15,무기지금,0
16,ㅋㅋㅋㅋㅋ,0
17,이런 것도 영화라고,1
18,게이영화게이친구갖고싶은 여자들의 영화평점 높은건사춘기 소녀들이 준거임,1
19,스릴도있구 나름 재밌게본영화! 반전이 예상치못한 반전이랄까?,1
20,"시나리오 구성도 떨어지고, 배우들 연기 다 따로놀고...;;;.",1
21,시즌1만 해도 최고였는데 갈수록 떡밥이 난무하고 정리는 못하고 파업까지 겹치면서 용두사미가 된 미드. 박수칠 때 깔끔하게 떠났다면 어땠을까,1
22,어이 없군요...,1
23,10제 궁수모자 경경경극옵 스카,0
24,기자 평론가라는 넘들은 뭐하는 애들이냐 이렇게 웃긴 영화에 5.49점을 주네 정신나간것들;;ㅋㅋ 진짜 웃기다 그냥 아무 생각없이 보다가 빵터졌다;ㅋㅋ,1
25,형들 이 극극 잡도 팔리나요,0
26,나같은 남자는 꼭봐야해 ㅋㅋ,1
27,오랜만에 돌아온 메린이 인데요.,0
28,재밌었는데 왜 내가본건 노출이 나왔지..15센데..,1
29,재미없다..... .,1
30,길드홍보만들어주시는분,0
31,수다쟁이 강도들과 남쥔공 여유있는 인질들 때문에 정신이 하나도 없네...,1
32,스카 우트케인 맥강 매물,0
33,우트활 28.8억/ 앨리시움,0
34,패바 보상 팔아여,0
